sample_index,time_wall_sec,source,frame_id,child_frame_id,x,y,z,roll,pitch,yaw
0,1778587855.4392207,/tf map->base_footprint,map,base_footprint,5.306680968466664,2.118071066576008,0.008730992005876856,-0.00022877976635663627,0.003364717566322173,-2.221149346084893
1,1778587855.6391258,/tf map->base_footprint,map,base_footprint,5.306680816436587,2.118070861759568,0.008726367206225343,-0.00022885166293048256,0.003388479057569064,-2.221149472162427
2,1778587855.8389637,/tf map->base_footprint,map,base_footprint,5.306680883590253,2.1180709505316155,0.008729360715389545,-0.00022893321762858932,0.003375827704243924,-2.2211495744843996
3,1778587856.0388536,/tf map->base_footprint,map,base_footprint,5.3066808767111855,2.118070940363785,0.008725122583124417,-0.0002289801260868495,0.003375005195503622,-2.2211493717091897
4,1778587856.238952,/tf map->base_footprint,map,base_footprint,5.306680834433296,2.1180708732185853,0.008724853192478066,-0.00022899869361656103,0.0033798996208780903,-2.221149333272374
5,1778587856.4391005,/tf map->base_footprint,map,base_footprint,5.306680833837567,2.118070886588493,0.008729704531086055,-0.00022903186857022874,0.003377592883443395,-2.2211493049338924
6,1778587856.6389837,/tf map->base_footprint,map,base_footprint,5.306680788941996,2.1180708135623396,0.008723241167767879,-0.00022903840996531014,0.003382150211471227,-2.2211492873878886
7,1778587856.8389275,/tf map->base_footprint,map,base_footprint,5.306680808334024,2.118070843447592,0.008730186013551924,-0.00022910557085001503,0.0033777174511652602,-2.2211493196953835
8,1778587857.039475,/tf map->base_footprint,map,base_footprint,5.306680797352536,2.1180708264155594,0.008730093648580257,-0.0002291579655797408,0.003377640140881924,-2.221149357375882
9,1778587857.2388575,/tf map->base_footprint,map,base_footprint,5.306680761308368,2.1180707846214735,0.008725178618878253,-0.00022921970049759124,0.003379833900066742,-2.2211492232856744
10,1778587857.4391508,/tf map->base_footprint,map,base_footprint,5.306680777645817,2.118070791248625,0.008729562189861097,-0.00022934743124349054,0.003377795217650524,-2.2211491845048745
11,1778587857.6397886,/tf map->base_footprint,map,base_footprint,5.306680759121813,2.1180707870086986,0.008729528930374054,-0.00022945450042394323,0.0033774223415647146,-2.2211491695529304
12,1778587857.8388643,/tf map->base_footprint,map,base_footprint,5.306680712048013,2.118070708623569,0.008722295063712786,-0.00022946619811272794,0.003383452323565963,-2.221149152136653
13,1778587858.038927,/tf map->base_footprint,map,base_footprint,5.306680735820197,2.118070751540635,0.008724899841693839,-0.00022943186509337643,0.0033781740463991973,-2.2211491836950277
14,1778587858.2389035,/tf map->base_footprint,map,base_footprint,5.306680732888659,2.118070748271547,0.008724578657974073,-0.0002294141061716381,0.0033765456426201952,-2.221149085801176
15,1778587858.4393914,/tf map->base_footprint,map,base_footprint,5.306680715540193,2.118070717550098,0.00872870040451347,-0.00022942294684733937,0.0033762593217746615,-2.2211491602644915
16,1778587858.6388311,/tf map->base_footprint,map,base_footprint,5.306680688974346,2.1180706766018353,0.00872914110184278,-0.00022947364662286347,0.003380025716871472,-2.221149067310785
17,1778587858.8390825,/tf map->base_footprint,map,base_footprint,5.306680690561405,2.1180706686985937,0.008725547191520772,-0.000229514391586194,0.0033769533067271795,-2.2211489938242965
18,1778587859.0391033,/tf map->base_footprint,map,base_footprint,5.306680654914213,2.118070633824331,0.008723983550514984,-0.00022956802316675552,0.0033795973443007375,-2.2211489725151417
19,1778587859.2390244,/tf map->base_footprint,map,base_footprint,5.306680649339419,2.1180706254187136,0.008725488029654956,-0.00022962527263886131,0.0033792906531441534,-2.221149036101091
20,1778587859.439073,/tf map->base_footprint,map,base_footprint,5.306680639597193,2.1180705978884724,0.008722742092301243,-0.00022966629636958873,0.0033788657355395277,-2.2211488781922193
21,1778587859.639039,/tf map->base_footprint,map,base_footprint,5.306680622517807,2.118070583423133,0.008722761921820003,-0.00022962298095973344,0.0033805580657940808,-2.2211490341171274
22,1778587859.8390687,/tf map->base_footprint,map,base_footprint,5.3066806263353135,2.1180705882460575,0.008729823681788377,-0.00022953730698005824,0.003378326012740552,-2.2211489005209635
23,1778587860.039217,/tf map->base_footprint,map,base_footprint,5.306680612171523,2.1180705669820252,0.0087261509643791,-0.00022951510549744643,0.0033773230551365366,-2.221148893457385
24,1778587860.238837,/tf map->base_footprint,map,base_footprint,5.306680595140664,2.1180705536387188,0.008726042807579742,-0.00022958459435490117,0.003378417437139925,-2.2211488744141135
25,1778587860.4393904,/tf map->base_footprint,map,base_footprint,5.306680590771115,2.118070538242476,0.008727716058443954,-0.0002296407562845045,0.0033769863876075322,-2.221148722779188
26,1778587860.6390483,/tf map->base_footprint,map,base_footprint,5.306680568535928,2.1180705097254102,0.008729528142942826,-0.0002296249547453634,0.0033791859959378468,-2.221148720941192
27,1778587860.8391447,/tf map->base_footprint,map,base_footprint,5.306680570772654,2.118070518332987,0.00872504601114515,-0.0002295774210902,0.003376450940603013,-2.2211487190107992
28,1778587861.0396078,/tf map->base_footprint,map,base_footprint,5.30668053961107,2.1180704428926114,0.008729161422587972,-0.00022955514229876126,0.0033812260977200063,-2.221148625475698
29,1778587861.2390172,/tf map->base_footprint,map,base_footprint,5.306680525569679,2.1180704614416572,0.00872972937350602,-0.00022952636417133344,0.0033768649603273886,-2.2211486459886243
30,1778587861.4395158,/tf map->base_footprint,map,base_footprint,5.306680536918749,2.118070431579029,0.008727759059476184,-0.0002294567199735572,0.0033781203525056827,-2.2211486158089366
31,1778587861.6389997,/tf map->base_footprint,map,base_footprint,5.306680472376396,2.118070377979591,0.008727274925931262,-0.00022943181518558656,0.003384118061995128,-2.2211486989659877
32,1778587861.8393655,/tf map->base_footprint,map,base_footprint,5.306680503220716,2.1180704218020874,0.008726575670551573,-0.0002293821693928358,0.0033766748443794683,-2.2211486587480693
33,1778587862.0388978,/tf map->base_footprint,map,base_footprint,5.306680476854468,2.1180703894171398,0.008725548093840923,-0.00022936587746605545,0.003379634321548827,-2.221148633984593
34,1778587862.2388964,/tf map->base_footprint,map,base_footprint,5.306680466609022,2.1180703772891123,0.0087232434235118,-0.00022943117660554653,0.0033782572155087137,-2.22114848814076
35,1778587862.4390526,/tf map->base_footprint,map,base_footprint,5.306680454657674,2.1180703570596933,0.008722943484254463,-0.00022946149312478306,0.003377614168262359,-2.2211484258303194
36,1778587862.638954,/tf map->base_footprint,map,base_footprint,5.3066804096109035,2.118070294521923,0.008728825428884304,-0.0002294277814415083,0.00338435635165993,-2.2211482407015217
37,1778587862.8407116,/tf map->base_footprint,map,base_footprint,5.306680441356066,2.118070327821799,0.00872813454403064,-0.00022939323885167628,0.0033765212586491715,-2.22114829230455
38,1778587863.038943,/tf map->base_footprint,map,base_footprint,5.306680418091238,2.118070284547985,0.008724662766906637,-0.00022937692495305192,0.003380415266333996,-2.221148406838972
39,1778587863.2389398,/tf map->base_footprint,map,base_footprint,5.306680407064311,2.1180702902999977,0.008729335089445945,-0.00022940625234559305,0.003378904032849231,-2.2211482296447684
40,1778587863.438999,/tf map->base_footprint,map,base_footprint,5.306680402652589,2.118070280667791,0.008726049469524657,-0.00022937276044080756,0.0033774765105640957,-2.2211483459526873
41,1778587863.6389544,/tf map->base_footprint,map,base_footprint,5.306680362369887,2.118070236426617,0.008727281036462586,-0.00022937283229646402,0.0033825150974413688,-2.221148215855063
42,1778587863.8390162,/tf map->base_footprint,map,base_footprint,5.306680365885858,2.118070234760992,0.008729264847471932,-0.00022937818599981228,0.0033785279406045956,-2.221148170964849
43,1778587864.039009,/tf map->base_footprint,map,base_footprint,5.306680358625653,2.1180702103031384,0.008722409848494688,-0.00022939107082882052,0.003378284162935326,-2.2211482421357562
44,1778587864.2389758,/tf map->base_footprint,map,base_footprint,5.306680332297012,2.1180701876864156,0.008723309044946944,-0.0002294615432295569,0.003379977938222846,-2.2211484422686527
45,1778587864.4400496,/tf map->base_footprint,map,base_footprint,5.30668032861444,2.1180701829213127,0.0087250947865733,-0.00022950668897809236,0.003378814550794649,-2.2211482294149447
46,1778587864.6390073,/tf map->base_footprint,map,base_footprint,5.306680339644316,2.1180701838823595,0.0087270902960134,-0.00022954426872584936,0.003376512716631275,-2.221148095465177
47,1778587864.8395603,/tf map->base_footprint,map,base_footprint,5.306680293155092,2.1180701369228716,0.008724490637635748,-0.0002295544066604519,0.0033794960869819517,-2.221148031064526
48,1778587865.0389793,/tf map->base_footprint,map,base_footprint,5.30668029078811,2.1180701346038715,0.008722857062844114,-0.0002295321763690715,0.0033782427895184424,-2.2211479855672986
49,1778587865.2390025,/tf map->base_footprint,map,base_footprint,5.306680265946849,2.1180700986598207,0.00872545147842815,-0.0002295157866479375,0.003381625273119589,-2.2211478862057437
50,1778587865.4389806,/tf map->base_footprint,map,base_footprint,5.306680273378639,2.1180701010674254,0.008725180506076019,-0.0002294889518716451,0.003379405590201882,-2.2211479361460142
51,1778587865.6389835,/tf map->base_footprint,map,base_footprint,5.306680251641695,2.1180700798458805,0.008725581600333616,-0.00022948300848738278,0.0033784510080045326,-2.2211478709078976
52,1778587865.8390615,/tf map->base_footprint,map,base_footprint,5.306680263780951,2.1180700778254637,0.00872593539246446,-0.00022949205636140266,0.003375929302402999,-2.221147853687493
53,1778587866.0390878,/tf map->base_footprint,map,base_footprint,5.3066802557316235,2.1180700768959313,0.008727809386063302,-0.00022951532884559226,0.0033755037735629066,-2.2211479031046646
54,1778587866.2391195,/tf map->base_footprint,map,base_footprint,5.306680209376584,2.1180700149975333,0.008727401354990597,-0.00022954311998714895,0.003380557474328647,-2.221147725236369
55,1778587866.4390283,/tf map->base_footprint,map,base_footprint,5.306680244377885,2.1180700567642003,0.008725996396402924,-0.00022955689383204658,0.0033761396980368373,-2.221147765672748
56,1778587866.6394503,/tf map->base_footprint,map,base_footprint,5.306680190786349,2.1180699804472805,0.008723177876830898,-0.0002295191073318849,0.003379919557293782,-2.2211476266334893
57,1778587866.8402128,/tf map->base_footprint,map,base_footprint,5.306680154830856,2.1180699469218736,0.00872931134387904,-0.00022942796923987367,0.0033836051816909895,-2.221147715791858
58,1778587867.0390384,/tf map->base_footprint,map,base_footprint,5.306680177043512,2.1180699669216287,0.008728059376790139,-0.00022934011366598257,0.00337788851899974,-2.221147827278005
59,1778587867.238935,/tf map->base_footprint,map,base_footprint,5.30668014629949,2.1180699451358014,0.008726347707718636,-0.00022931976257717493,0.003380111965423078,-2.2211476028510675
60,1778587867.43895,/tf map->base_footprint,map,base_footprint,5.306680141993521,2.118069918398767,0.00872965274103017,-0.0002293475677562088,0.0033802148204528384,-2.2211477070882224
61,1778587867.6389072,/tf map->base_footprint,map,base_footprint,5.306680168469024,2.118069946656002,0.00872842800296245,-0.000229411803484211,0.003377113876412769,-2.2211475772838267
